time,reference,T F out,T C in,T F in,T C out
3627490925,298.642235,40.827567,41.328577,41.001018,40.576982
3627490926,298.642235,40.943204,41.328577,40.808294,40.461308
3627490926,298.649529,40.988963,41.085314,40.757687,40.507086
3627490927,298.642235,40.827567,41.367108,40.557703,40.480588
3627490927,298.649529,40.892603,41.470641,40.719136,40.487807
3627490928,298.649529,40.95042,41.528429,40.834784,40.487807
3627490928,298.642235,40.789019,41.290046,40.769745,40.480588
3627490929,298.642235,40.846841,41.482691,40.827567,40.519146
3627490929,298.642235,40.827567,41.540479,40.962476,40.442028
3627490930,298.649529,40.854057,41.41285,40.796236,40.449247
3627490930,298.649529,40.931148,41.316525,40.834784,40.410687
3627490931,298.649529,40.738412,41.374321,40.892603,40.449247
3627490931,298.649529,40.854057,41.528429,40.911876,40.564922
3627490932,298.649529,40.776962,41.432114,40.834784,40.449247
3627490932,298.649529,40.776962,41.624736,40.95042,40.661308
3627490933,298.649529,40.911876,41.470641,40.757687,40.487807
3627490933,298.649529,40.892603,41.586214,40.738412,40.449247
3627490934,298.649529,40.81551,41.393586,40.776962,40.487807
3627490934,298.649529,40.854057,41.374321,40.931148,40.468527
3627490935,298.642235,40.885387,41.251513,41.116638,40.480588
3627490935,298.642235,40.769745,41.424901,40.943204,40.673367
3627490936,298.649529,40.757687,41.624736,40.834784,40.487807
3627490936,298.642235,40.962476,41.444165,40.808294,40.442028
3627490937,298.642235,40.846841,41.424901,40.866114,40.461308
3627490937,298.649529,41.066045,41.566953,40.873331,40.429967
3627490938,298.649529,40.776962,41.258727,41.008234,40.603477
3627490938,298.656824,40.707078,41.516379,40.89982,40.514305
3627490939,298.649529,40.81551,41.393586,40.834784,40.603477
3627490939,298.656824,40.842001,41.439327,41.131067,40.668526
3627490940,298.649529,40.776962,41.297259,40.661308,40.5842
3627490940,298.649529,40.873331,41.41285,40.854057,40.564922
3627490941,298.656824,40.764904,41.285207,40.861274,40.57214
3627490941,298.649529,40.95042,41.277993,40.988963,40.5842
3627490942,298.649529,40.776962,41.258727,40.738412,40.622755
3627490942,298.649529,40.873331,41.220193,41.104584,40.622755
3627490943,298.649529,40.796236,41.355056,40.969692,40.622755
3627490943,298.649529,40.661308,41.355056,40.699861,40.622755
3627490944,298.649529,40.680585,41.355056,40.892603,40.642032
3627490944,298.656824,40.629973,41.45859,41.05399,40.610695
3627490945,298.649529,40.834784,41.41285,40.81551,40.487807
3627490945,298.649529,40.834784,41.663256,40.719136,40.526365
3627490946,298.649529,40.81551,41.566953,40.699861,40.507086
3627490946,298.649529,40.873331,41.143121,40.834784,40.507086
3627490947,298.656824,40.803453,41.45859,40.803453,40.610695
3627490947,298.656824,40.784179,41.439327,40.822727,40.533583
3627490948,298.649529,40.642032,41.355056,40.81551,40.603477
3627490948,298.649529,40.526365,41.297259,41.027504,40.622755
3627490949,298.656824,40.861274,41.439327,40.803453,40.495025
3627490949,298.656824,40.668526,41.574165,40.842001,40.514305
3627490950,298.656824,40.668526,41.612687,40.784179,40.495025
3627490950,298.649529,40.738412,41.277993,41.008234,40.699861
3627490951,298.649529,40.738412,41.200926,41.066045,40.603477
3627490951,298.656824,40.57214,41.227407,41.015449,40.687802
3627490952,298.656824,40.764904,41.304473,41.092529,40.687802
3627490952,298.649529,40.873331,41.432114,41.008234,40.757687
3627490953,298.656824,40.957636,41.285207,40.957636,40.707078
3627490953,298.649529,40.81551,41.23946,41.046775,40.680585
3627490954,298.649529,40.699861,41.297259,40.95042,40.661308
3627490954,298.649529,40.854057,41.277993,40.931148,40.680585
3627490955,298.656824,40.687802,41.343004,41.05399,40.668526
3627490955,298.656824,40.842001,41.477853,40.822727,40.475746
3627490956,298.664118,40.94558,41.427276,41.061205,40.714296
3627490956,298.656824,40.919092,41.246674,40.919092,40.726354
3627490957,298.656824,40.919092,41.285207,40.957636,40.707078
3627490957,298.656824,40.707078,41.323739,41.092529,40.707078
3627490958,298.649529,40.603477,41.297259,41.027504,40.719136
3627490958,298.656824,40.842001,41.265941,41.131067,40.707078
3627490959,298.656824,40.649249,41.304473,40.919092,40.707078
3627490959,298.656824,40.822727,41.265941,41.07326,40.629973
3627490960,298.656824,40.495025,41.420063,40.996178,40.687802
3627490960,298.649529,40.719136,41.220193,41.008234,40.680585
3627490961,298.664118,40.829944,41.138282,41.003394,40.714296
3627490961,298.656824,40.745629,41.05399,40.938364,40.668526
3627490962,298.656824,40.842001,41.45859,40.957636,40.668526
3627490962,298.649529,40.5842,41.181658,40.988963,40.738412
3627490963,298.649529,40.719136,41.277993,41.008234,40.680585
3627490963,298.656824,40.784179,41.265941,40.957636,40.610695
3627490964,298.656824,40.803453,41.439327,40.938364,40.687802
3627490964,298.656824,40.822727,41.246674,40.996178,40.649249
3627490965,298.656824,40.784179,41.188872,41.07326,40.726354
3627490965,298.656824,40.57214,41.400799,40.976907,40.668526
3627490966,298.656824,40.726354,41.516379,41.07326,40.707078
3627490966,298.656824,40.649249,41.381534,40.938364,40.707078
3627490967,298.656824,40.649249,41.381534,41.015449,40.707078
3627490967,298.656824,40.533583,41.362269,40.957636,40.668526
3627490968,298.656824,40.591418,41.400799,40.938364,40.745629
3627490968,298.656824,40.803453,41.285207,41.05399,40.726354
3627490969,298.664118,40.69502,41.176819,40.984123,40.675744
3627490969,298.656824,40.552862,41.227407,41.05399,40.668526
3627490970,298.656824,40.726354,41.150336,41.03472,40.629973
3627490970,298.656824,40.726354,41.554903,41.03472,40.687802
3627490971,298.656824,40.822727,41.497116,40.880547,40.629973
3627490971,298.656824,40.764904,41.631948,41.092529,40.629973
3627490972,298.656824,40.687802,41.477853,41.169604,40.552862
3627490972,298.664118,40.772121,41.44654,40.86849,40.56008
3627490973,298.656824,40.707078,41.45859,40.976907,40.687802
3627490973,298.664118,40.772121,41.350218,40.984123,40.56008
3627490974,298.656824,40.707078,41.150336,40.976907,40.668526
3627490974,298.664118,40.752846,41.215354,41.061205,40.598636
3627490975,298.664118,40.791396,41.215354,41.041935,40.617913
3627490975,298.664118,40.714296,41.388747,41.119013,40.714296
3627490976,298.664118,40.772121,41.388747,41.119013,40.656467
3627490976,298.664118,40.675744,41.350218,41.061205,40.63719
3627490977,298.664118,40.772121,41.311687,41.003394,40.63719
3627490977,298.664118,40.772121,41.485066,40.86849,40.579358
3627490978,298.671413,40.702237,41.530804,40.991339,40.605854
3627490978,298.664118,40.81067,41.523591,41.119013,40.579358
3627490979,298.664118,40.791396,41.542853,40.984123,40.617913
3627490979,298.664118,40.829944,41.581377,41.080475,40.617913
3627490980,298.664118,40.829944,41.65842,40.887763,40.540802
3627490980,298.664118,40.772121,41.350218,41.022665,40.617913
